,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tên dự án:,Delivery Management System,Số test case:,716,,,,,,,,,,,
249,Ord_LocDon_TC_12,Order Management,Ord_LocDon,Lọc đơn hàng,Kết hợp lọc: Tên khách + Trạng thái,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kết hợp lọc: Tên khách + Trạng thái,Test Data TBD,Expected Result TBD,,,,High
250,Ord_LocDon_TC_13,Order Management,Ord_LocDon,Lọc đơn hàng,Kết hợp lọc: Ngày + Giá + Trạng thái,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kết hợp lọc: Ngày + Giá + Trạng thái,Test Data TBD,Expected Result TBD,,,,High
251,Ord_LocDon_TC_14,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc với kết quả trống (không có đơn nào),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc với kết quả trống (không có đơn nào),Test Data TBD,Expected Result TBD,,,,High
252,Ord_LocDon_TC_15,Order Management,Ord_LocDon,Lọc đơn hàng,Kiểm tra nút Reset/Clear Filter,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra nút Reset/Clear Filter,Test Data TBD,Expected Result TBD,,,,High
253,Ord_LocDon_TC_16,Order Management,Ord_LocDon,Lọc đơn hàng,Kiểm tra dữ liệu cập nhật sau khi lọc,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra dữ liệu cập nhật sau khi lọc,Test Data TBD,Expected Result TBD,,,,High
254,Ord_LocDon_TC_17,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc với dữ liệu lớn (>1000 đơn hàng),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc với dữ liệu lớn (>1000 đơn hàng),Test Data TBD,Expected Result TBD,,,,High
255,Ord_LocDon_TC_18,Order Management,Ord_LocDon,Lọc đơn hàng,Kiểm tra thời gian phản hồi khi lọc,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra thời gian phản hồi khi lọc,Test Data TBD,Expected Result TBD,,,,High
256,Ord_LocDon_TC_19,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc với tên khách chứa ký tự đặc biệt,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc với tên khách chứa ký tự đặc biệt,Test Data TBD,Expected Result TBD,,,,High
257,Ord_LocDon_TC_20,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc với SQL Injection trong trường tên,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc với SQL Injection trong trường tên,Test Data TBD,Expected Result TBD,,,,High
258,Ord_LocDon_TC_21,Order Management,Ord_LocDon,Lọc đơn hàng,Kiểm tra phân trang khi lọc,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra phân trang khi lọc,Test Data TBD,Expected Result TBD,,,,High
259,Ord_LocDon_TC_22,Order Management,Ord_LocDon,Lọc đơn hàng,Sắp xếp kết quả lọc theo ngày/giá,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Sắp xếp kết quả lọc theo ngày/giá,Test Data TBD,Expected Result TBD,,,,High
260,Ord_LocDon_TC_23,Order Management,Ord_LocDon,Lọc đơn hàng,Xuất dữ liệu sau khi lọc (Export),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xuất dữ liệu sau khi lọc (Export),Test Data TBD,Expected Result TBD,,,,High
261,Ord_LocDon_TC_24,Order Management,Ord_LocDon,Lọc đơn hàng,Lưu bộ lọc yêu thích,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lưu bộ lọc yêu thích,Test Data TBD,Expected Result TBD,,,,High
262,Ord_LocDon_TC_25,Order Management,Ord_LocDon,Lọc đơn hàng,Tải bộ lọc đã lưu,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Tải bộ lọc đã lưu,Test Data TBD,Expected Result TBD,,,,High
263,Ord_LocDon_TC_26,Order Management,Ord_LocDon,Lọc đơn hàng,Xóa bộ lọc đã lưu,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa bộ lọc đã lưu,Test Data TBD,Expected Result TBD,,,,High
264,Ord_LocDon_TC_27,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc với giá tối thiểu = 0,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc với giá tối thiểu = 0,Test Data TBD,Expected Result TBD,,,,High
265,Ord_LocDon_TC_28,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc với giá tối đa (Boundary),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc với giá tối đa (Boundary),Test Data TBD,Expected Result TBD,,,,High
266,Ord_LocDon_TC_29,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc ngày từ quá khứ (3 tháng trước),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc ngày từ quá khứ (3 tháng trước),Test Data TBD,Expected Result TBD,,,,High
267,Ord_LocDon_TC_30,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc ngày từ tương lai,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc ngày từ tương lai,Test Data TBD,Expected Result TBD,,,,High
268,Ord_LocDon_TC_31,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc ngày bắt đầu sau ngày kết thúc (Invalid),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc ngày bắt đầu sau ngày kết thúc (Invalid),Test Data TBD,Expected Result TBD,,,,High
269,Ord_LocDon_TC_32,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc với Email vô lệ,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc với Email vô lệ,Test Data TBD,Expected Result TBD,,,,High
270,Ord_LocDon_TC_33,Order Management,Ord_LocDon,Lọc đơn hàng,Kiểm tra giao diện Responsive trên Mobile,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra giao diện Responsive trên Mobile,Test Data TBD,Expected Result TBD,,,,High
271,Ord_LocDon_TC_34,Order Management,Ord_LocDon,Lọc đơn hàng,Kiểm tra UI Filter trên Tablet,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra UI Filter trên Tablet,Test Data TBD,Expected Result TBD,,,,High
272,Ord_LocDon_TC_35,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc khi Server mất kết nối,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc khi Server mất kết nối,Test Data TBD,Expected Result TBD,,,,High
273,Ord_LocDon_TC_36,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc khi đường truyền yếu,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc khi đường truyền yếu,Test Data TBD,Expected Result TBD,,,,High
274,Ord_LocDon_TC_37,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc và refresh trang (F5),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc và refresh trang (F5),Test Data TBD,Expected Result TBD,,,,High
275,Ord_LocDon_TC_38,Order Management,Ord_LocDon,Lọc đơn hàng,Lưu URL lọc và truy cập lại,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lưu URL lọc và truy cập lại,Test Data TBD,Expected Result TBD,,,,High
276,Ord_LocDon_TC_39,Order Management,Ord_LocDon,Lọc đơn hàng,Lọc nhiều trạng thái cùng lúc,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Lọc nhiều trạng thái cùng lúc,Test Data TBD,Expected Result TBD,,,,High
277,Ord_LocDon_TC_40,Order Management,Ord_LocDon,Lọc đơn hàng,Kiểm tra số lượng kết quả lọc (Count),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra số lượng kết quả lọc (Count),Test Data TBD,Expected Result TBD,,,,High
278,Ord_XoaDH_TC_01,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng thành công và xác nhận,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng thành công và xác nhận,Test Data TBD,Expected Result TBD,,,,Medium
279,Ord_XoaDH_TC_02,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra hộp thoại xác nhận (Confirmation Dialog),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra hộp thoại xác nhận (Confirmation Dialog),Test Data TBD,Expected Result TBD,,,,Medium
280,Ord_XoaDH_TC_03,Order Management,Ord_XoaDH,Lọc đơn hàng,"Hủy xóa đơn hàng (Click ""Không"")",User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,"Hủy xóa đơn hàng (Click ""Không"")",Test Data TBD,Expected Result TBD,,,,Medium
281,Ord_XoaDH_TC_04,Order Management,Ord_XoaDH,Lọc đơn hàng,"Xóa đơn hàng khi nhấn nút ""Có""",User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,"Xóa đơn hàng khi nhấn nút ""Có""",Test Data TBD,Expected Result TBD,,,,Medium
282,Ord_XoaDH_TC_05,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra thông báo thành công sau khi xóa,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra thông báo thành công sau khi xóa,Test Data TBD,Expected Result TBD,,,,Medium
283,Ord_XoaDH_TC_06,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng không được chọn (Invalid),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng không được chọn (Invalid),Test Data TBD,Expected Result TBD,,,,Medium
284,Ord_XoaDH_TC_07,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng đang ở trạng thái Pending,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng đang ở trạng thái Pending,Test Data TBD,Expected Result TBD,,,,Medium
285,Ord_XoaDH_TC_08,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng đang ở trạng thái Processing (Fail),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng đang ở trạng thái Processing (Fail),Test Data TBD,Expected Result TBD,,,,Medium
286,Ord_XoaDH_TC_09,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng đã hoàn thành (Delivered),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng đã hoàn thành (Delivered),Test Data TBD,Expected Result TBD,,,,Medium
287,Ord_XoaDH_TC_10,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng đã được hủy trước đó (Cancelled),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng đã được hủy trước đó (Cancelled),Test Data TBD,Expected Result TBD,,,,Medium
288,Ord_XoaDH_TC_11,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa nhiều đơn hàng cùng lúc (Bulk Delete),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa nhiều đơn hàng cùng lúc (Bulk Delete),Test Data TBD,Expected Result TBD,,,,Medium
289,Ord_XoaDH_TC_12,Order Management,Ord_XoaDH,Lọc đơn hàng,Chọn tất cả đơn hàng rồi xóa,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Chọn tất cả đơn hàng rồi xóa,Test Data TBD,Expected Result TBD,,,,Medium
290,Ord_XoaDH_TC_13,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa phần nửa số lượng đơn được chọn,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa phần nửa số lượng đơn được chọn,Test Data TBD,Expected Result TBD,,,,Medium
291,Ord_XoaDH_TC_14,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng đã bị xóa trước đó (Double Delete),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng đã bị xóa trước đó (Double Delete),Test Data TBD,Expected Result TBD,,,,Medium
292,Ord_XoaDH_TC_15,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra phân quyền: Shipper xóa đơn,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra phân quyền: Shipper xóa đơn,Test Data TBD,Expected Result TBD,,,,Medium
293,Ord_XoaDH_TC_16,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra phân quyền: Customer xóa đơn,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra phân quyền: Customer xóa đơn,Test Data TBD,Expected Result TBD,,,,Medium
294,Ord_XoaDH_TC_17,Order Management,Ord_XoaDH,Lọc đơn hàng,Chỉ Admin mới có quyền xóa,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Chỉ Admin mới có quyền xóa,Test Data TBD,Expected Result TBD,,,,Medium
295,Ord_XoaDH_TC_18,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng của người dùng khác (Unauthorized),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng của người dùng khác (Unauthorized),Test Data TBD,Expected Result TBD,,,,Medium
296,Ord_XoaDH_TC_19,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng khi session hết hạn,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng khi session hết hạn,Test Data TBD,Expected Result TBD,,,,Medium
297,Ord_XoaDH_TC_20,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa với CSRF Token không hợp lệ (Security),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa với CSRF Token không hợp lệ (Security),Test Data TBD,Expected Result TBD,,,,Medium
298,Ord_XoaDH_TC_21,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa với SQL Injection trong OrderID,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa với SQL Injection trong OrderID,Test Data TBD,Expected Result TBD,,,,Medium
299,Ord_XoaDH_TC_22,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa qua API với request sai,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa qua API với request sai,Test Data TBD,Expected Result TBD,,,,Medium
300,Ord_XoaDH_TC_23,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra dữ liệu không bị xóa từ database,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra dữ liệu không bị xóa từ database,Test Data TBD,Expected Result TBD,,,,Medium
301,Ord_XoaDH_TC_24,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra soft delete (dữ liệu vẫn tồn tại),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra soft delete (dữ liệu vẫn tồn tại),Test Data TBD,Expected Result TBD,,,,Medium
302,Ord_XoaDH_TC_25,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa và kiểm tra lịch sử đơn hàng,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa và kiểm tra lịch sử đơn hàng,Test Data TBD,Expected Result TBD,,,,Medium
303,Ord_XoaDH_TC_26,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa đơn hàng với 1000+ record,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa đơn hàng với 1000+ record,Test Data TBD,Expected Result TBD,,,,Medium
304,Ord_XoaDH_TC_27,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra thời gian phản hồi khi xóa,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra thời gian phản hồi khi xóa,Test Data TBD,Expected Result TBD,,,,Medium
305,Ord_XoaDH_TC_28,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa khi Server mất kết nối,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa khi Server mất kết nối,Test Data TBD,Expected Result TBD,,,,Medium
306,Ord_XoaDH_TC_29,Order Management,Ord_XoaDH,Lọc đơn hàng,Xóa khi đường truyền yếu,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Xóa khi đường truyền yếu,Test Data TBD,Expected Result TBD,,,,Medium
307,Ord_XoaDH_TC_30,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra giao diện Responsive trên Mobile,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra giao diện Responsive trên Mobile,Test Data TBD,Expected Result TBD,,,,Medium
308,Ord_XoaDH_TC_31,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra nút Xóa trên Tablet,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra nút Xóa trên Tablet,Test Data TBD,Expected Result TBD,,,,Medium
309,Ord_XoaDH_TC_32,Order Management,Ord_XoaDH,Lọc đơn hàng,Chống Double-click nút Xóa,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Chống Double-click nút Xóa,Test Data TBD,Expected Result TBD,,,,Medium
310,Ord_XoaDH_TC_33,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra loading state khi xóa,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra loading state khi xóa,Test Data TBD,Expected Result TBD,,,,Medium
311,Ord_XoaDH_TC_34,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra UI thông báo lỗi (Màu sắc),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra UI thông báo lỗi (Màu sắc),Test Data TBD,Expected Result TBD,,,,Medium
312,Ord_XoaDH_TC_35,Order Management,Ord_XoaDH,Lọc đơn hàng,Kiểm tra UI thông báo thành công,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra UI thông báo thành công,Test Data TBD,Expected Result TBD,,,,Medium
313,Ord_GanNVDH_TC_01,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán nhân viên thành công cho đơn hàng,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán nhân viên thành công cho đơn hàng,Test Data TBD,Expected Result TBD,,,,Medium
314,Ord_GanNVDH_TC_02,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra để trống trường Chọn nhân viên,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra để trống trường Chọn nhân viên,Test Data TBD,Expected Result TBD,,,,Medium
315,Ord_GanNVDH_TC_03,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra danh sách nhân viên khả dụng,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra danh sách nhân viên khả dụng,Test Data TBD,Expected Result TBD,,,,Medium
316,Ord_GanNVDH_TC_04,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán nhân viên đã bị khóa (Inactive),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán nhân viên đã bị khóa (Inactive),Test Data TBD,Expected Result TBD,,,,Medium
317,Ord_GanNVDH_TC_05,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán nhân viên không có quyền giao hàng,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán nhân viên không có quyền giao hàng,Test Data TBD,Expected Result TBD,,,,Medium
318,Ord_GanNVDH_TC_06,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán lại nhân viên khác cho đơn,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán lại nhân viên khác cho đơn,Test Data TBD,Expected Result TBD,,,,Medium
319,Ord_GanNVDH_TC_07,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán nhiều nhân viên cùng lúc (nếu có),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán nhiều nhân viên cùng lúc (nếu có),Test Data TBD,Expected Result TBD,,,,Medium
320,Ord_GanNVDH_TC_08,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra thông báo cho nhân viên được gán,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra thông báo cho nhân viên được gán,Test Data TBD,Expected Result TBD,,,,Medium
321,Ord_GanNVDH_TC_09,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra phân quyền: Chỉ Admin có quyền gán,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra phân quyền: Chỉ Admin có quyền gán,Test Data TBD,Expected Result TBD,,,,Medium
322,Ord_GanNVDH_TC_10,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán đơn hàng khi trạng thái không phù hợp,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán đơn hàng khi trạng thái không phù hợp,Test Data TBD,Expected Result TBD,,,,Medium
323,Ord_GanNVDH_TC_11,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra tính năng tự động gán (Auto assign),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra tính năng tự động gán (Auto assign),Test Data TBD,Expected Result TBD,,,,Medium
324,Ord_GanNVDH_TC_12,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán dựa trên khoảng cách (Distance-based),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán dựa trên khoảng cách (Distance-based),Test Data TBD,Expected Result TBD,,,,Medium
325,Ord_GanNVDH_TC_13,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán dựa trên khối lượng công việc (Load-based),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán dựa trên khối lượng công việc (Load-based),Test Data TBD,Expected Result TBD,,,,Medium
326,Ord_GanNVDH_TC_14,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra hiệu suất khi gán với 1000+ đơn,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra hiệu suất khi gán với 1000+ đơn,Test Data TBD,Expected Result TBD,,,,Medium
327,Ord_GanNVDH_TC_15,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán khi Server mất kết nối,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán khi Server mất kết nối,Test Data TBD,Expected Result TBD,,,,Medium
328,Ord_GanNVDH_TC_16,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán khi đường truyền yếu,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán khi đường truyền yếu,Test Data TBD,Expected Result TBD,,,,Medium
329,Ord_GanNVDH_TC_17,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra UI Responsive trên Mobile,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra UI Responsive trên Mobile,Test Data TBD,Expected Result TBD,,,,Medium
330,Ord_GanNVDH_TC_18,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra thông báo thành công (UI),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra thông báo thành công (UI),Test Data TBD,Expected Result TBD,,,,Medium
331,Ord_GanNVDH_TC_19,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra thông báo lỗi (UI),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra thông báo lỗi (UI),Test Data TBD,Expected Result TBD,,,,Medium
332,Ord_GanNVDH_TC_20,Order Management,Ord_GanNVDH,Lọc đơn hàng,Chống Double-click nút Gán,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Chống Double-click nút Gán,Test Data TBD,Expected Result TBD,,,,Medium
333,Ord_GanNVDH_TC_21,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra Loading state khi gán,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra Loading state khi gán,Test Data TBD,Expected Result TBD,,,,Medium
334,Ord_GanNVDH_TC_22,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán và refresh trang (F5),User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán và refresh trang (F5),Test Data TBD,Expected Result TBD,,,,Medium
335,Ord_GanNVDH_TC_23,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra cập nhật ngay trên dashboard,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra cập nhật ngay trên dashboard,Test Data TBD,Expected Result TBD,,,,Medium
336,Ord_GanNVDH_TC_24,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán với SQL Injection trong input,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán với SQL Injection trong input,Test Data TBD,Expected Result TBD,,,,Medium
337,Ord_GanNVDH_TC_25,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán với XSS trong notes,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán với XSS trong notes,Test Data TBD,Expected Result TBD,,,,Medium
338,Ord_GanNVDH_TC_26,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra token CSRF hợp lệ,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra token CSRF hợp lệ,Test Data TBD,Expected Result TBD,,,,Medium
339,Ord_GanNVDH_TC_27,Order Management,Ord_GanNVDH,Lọc đơn hàng,Gán với request API sai,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Gán với request API sai,Test Data TBD,Expected Result TBD,,,,Medium
340,Ord_GanNVDH_TC_28,Order Management,Ord_GanNVDH,Lọc đơn hàng,Kiểm tra audit log khi gán,User đã đăng nhập. JWT Token hợp lệ. Truy cập từ Admin hoặc Customer role.,1,Kiểm tra audit log khi gán,Test Data TBD,Expected Result TBD,,,,Medium
